Progress,SamplesPer(seconds),Runtime(seconds),ETA(seconds),Cost
0.06,56,1,1778,0.923269
0.11,45,2,1738,0.904372
0.16,46,3,1697,0.899559
0.21,45,4,1736,0.897476
0.26,44,5,1775,0.896217
0.31,46,6,1674,0.895247
0.36,46,7,1644,0.894401
0.41,46,8,1683,0.893597
0.46,45,9,1722,0.892822
0.51,43,10,1800,0.892051
0.56,44,12,1779,0.891281
0.61,45,13,1739,0.890502
0.66,46,14,1688,0.889717
0.71,44,15,1757,0.888922
0.76,44,16,1766,0.888125
0.81,46,17,1686,0.887317
0.86,46,18,1685,0.886494
0.91,45,19,1714,0.885661
0.96,46,20,1663,0.884814
1.01,46,21,1682,0.883959
1.06,46,22,1672,0.883092
1.11,45,24,1700,0.882207
1.16,47,25,1640,0.881315
1.21,45,26,1709,0.880405
1.26,45,27,1698,0.879475
1.31,45,28,1687,0.878533
1.36,46,29,1686,0.877575
1.41,45,30,1725,0.876601
1.45,39,31,1931,0.875805
1.5,42,32,1881,0.874798
1.55,45,33,1703,0.873769
1.6,44,35,1761,0.872719
1.65,44,36,1750,0.87165
1.7,45,37,1690,0.870563
1.75,44,38,1748,0.869445
1.8,45,39,1689,0.868307
1.85,45,40,1717,0.867145
1.9,46,41,1667,0.86596
1.95,47,42,1617,0.864744
2,46,43,1636,0.863507
2.05,46,44,1674,0.862236
2.1,45,45,1683,0.860939
2.15,47,46,1614,0.859612
2.2,46,48,1672,0.858253
2.25,46,49,1632,0.856866
2.3,45,50,1680,0.855445
2.35,46,51,1640,0.853996
2.4,46,52,1659,0.852509
2.45,46,53,1629,0.850989
2.5,46,54,1647,0.849439
2.55,46,55,1637,0.847854
2.6,47,56,1626,0.846224
2.65,47,57,1625,0.844567
2.7,46,58,1624,0.842864
2.75,45,59,1672,0.841127
2.8,46,60,1662,0.839355
2.85,46,62,1641,0.837541
2.9,47,63,1611,0.835685
2.95,47,64,1611,0.833798
3,46,65,1629,0.831867
3.05,47,66,1609,0.829899
3.1,45,67,1676,0.82789
3.15,46,68,1656,0.825843
3.2,44,69,1742,0.823755
3.25,44,70,1722,0.821631
3.3,44,71,1682,0.819469
3.35,45,72,1672,0.817255
3.4,46,73,1632,0.815005
3.45,45,75,1699,0.812719
