Progress,SamplesPer(seconds),Runtime(seconds),ETA(seconds),Cost
0,0,0,0,2.1843
0.2,95719.1,0,312,0.187689
0.4,87873.8,1,340,0.153092
0.6,88942.1,1,335,0.142644
0.8,88801.9,2,335,0.137256
1,87048.2,3,341,0.123959
1.2,86866.8,4,341,0.125897
1.4,86043.2,4,343,0.11832
1.6,86039.1,5,343,0.119032
1.8,85248.9,6,345,0.114036
2,82923.7,6,354,0.114249
2.2,85033.6,7,345,0.114142
2.4,87016.9,8,336,0.11403
2.6,87628.1,8,333,0.113362
2.8,83168.8,9,350,0.10771
3,87479.9,10,332,0.113709
3.2,87354.3,11,332,0.111809
3.4,87693.7,11,330,0.107239
3.6,86936.9,12,332,0.108449
3.8,86852.8,13,332,0.110981
4,87371.1,13,329,0.108915
4.2,86971.9,14,330,0.10789
4.4,85458,15,335,0.111892
4.6,86340.4,15,331,0.109488
4.8,86213,16,331,0.103591
5,86058.8,17,331,0.111206
5.2,86193,17,329,0.107157
5.4,86049.3,18,329,0.107527
5.6,84841.8,19,333,0.110567
5.8,81724.7,20,345,0.108226
6,85696.5,20,329,0.111006
6.2,85342.1,21,329,0.111623
6.4,85513.5,22,328,0.108012
6.6,85606.8,22,327,0.106953
6.8,85069.3,23,328,0.107103
7,85130.7,24,327,0.110454
7.2,84772.1,25,328,0.113521
7.4,83896.5,25,331,0.110803
7.6,84712.9,26,327,0.105274
7.8,84646.3,27,326,0.102952
8,84664.9,27,325,0.107175
8.2,82192.6,28,335,0.104511
8.4,84388.9,29,325,0.106533
8.6,83794.4,30,327,0.108713
8.8,83133,30,329,0.103773
9,83131.3,31,328,0.103095
9.2,83347.8,32,326,0.110365
9.4,83236.9,32,326,0.106574
9.6,83056.4,33,326,0.106275
9.8,83248.5,34,325,0.103782
10,82864,35,325,0.110522
10.2,81433.9,35,330,0.107079
10.4,82538.2,36,325,0.111941
10.6,82237.6,37,326,0.11355
10.8,82250.8,37,325,0.106852
11,82097.3,38,325,0.115902
11.2,81663.6,39,326,0.108392
11.4,81503.2,40,326,0.106062
11.6,81716,40,324,0.109933
11.8,81813.6,41,323,0.109265
