Progress,SamplesPer(seconds),Runtime(seconds),ETA(seconds),Cost
0,0,0,0,2.1843
0.2,98829.9,0,302,0.179662
0.4,89030.5,1,335,0.139069
0.6,88578,1,336,0.132519
0.8,88234.3,2,337,0.124851
1,87622.6,3,338,0.118925
1.2,86246.7,4,343,0.114552
1.4,86704.3,4,341,0.107129
1.6,86034.7,5,343,0.117216
1.8,84727.3,6,347,0.110063
2,84444.6,6,348,0.105621
2.2,83441.5,7,351,0.102912
2.4,81784.5,8,358,0.107925
2.6,81188.6,9,359,0.111049
2.8,76977.5,9,378,0.108327
3,79496.5,10,366,0.102049
3.2,80011.5,11,362,0.111462
3.4,79831.2,12,363,0.104085
3.6,78827.8,12,366,0.10665
3.8,78157.6,13,369,0.0997178
4,76806,14,374,0.100152
4.2,77658,15,370,0.0949649
4.4,76246.1,15,376,0.098204
4.6,76060.2,16,376,0.100354
4.8,75972.2,17,375,0.0950011
5,75213.2,18,378,0.0960609
5.2,75530.9,19,376,0.0955481
5.4,73412.9,19,386,0.0974753
5.6,73643,20,384,0.0939203
5.8,72193.8,21,391,0.097505
6,72671.7,22,388,0.095199
6.2,72274.6,23,389,0.0993657
6.4,72191.7,24,388,0.0937632
6.6,70084.5,24,399,0.100618
6.8,70265.9,25,397,0.0981839
7,69465.3,26,401,0.0940831
7.2,70001.6,27,397,0.0967857
7.4,69766.1,28,398,0.0933018
7.6,69281.9,29,400,0.101551
7.8,68671.6,30,402,0.0983047
8,68469.9,30,403,0.095314
8.2,67743.3,31,406,0.0983562
8.4,67938.6,32,404,0.0957315
8.6,67587.2,33,405,0.0951373
8.8,67005.9,34,408,0.097837
9,65988.7,35,413,0.0941152
9.2,66469.7,36,409,0.0976875
9.4,65824.4,37,412,0.0965043
9.6,65450.7,38,414,0.108383
9.8,65528.7,39,412,0.101885
10,64267.8,39,420,0.0962836
10.2,65362.9,40,412,0.0981226
10.4,64885.6,41,414,0.0950435
10.6,65081.8,42,412,0.098062
10.8,63913.6,43,418,0.0964427
11,64482.6,44,414,0.101333
11.2,63257.2,45,421,0.0950767
11.4,63471.5,46,418,0.0942853
11.6,63003.8,47,420,0.0949167
11.8,63477.4,48,416,0.0949529
12,62762.6,49,420,0.09541
12.2,62806.2,50,419,0.0944199
12.4,62290.6,51,421,0.0963133
12.6,62611.2,52,418,0.0941786
12.8,62068.4,53,421,0.0969293
13,61651.4,54,423,0.0932456
13.2,59730.3,55,435,0.0945833
13.4,60370.9,56,430,0.10222
13.6,61970.5,57,418,0.094783
13.8,61433.5,58,420,0.0929163
14,60633.3,59,425,0.0944975
14.2,61244.6,60,420,0.0989237
14.4,60025.8,61,427,0.0948959
14.6,60642.4,62,422,0.0968905
14.8,60249,63,424,0.0927474
15,60307.1,64,422,0.0954481
15.2,60308.8,65,421,0.0926764
15.4,59897,66,423,0.094471
15.6,58616.1,67,431,0.0951023
15.8,59105.7,68,427,0.0960908
16,59301.6,69,424,0.0948691
16.2,59274.4,70,424,0.0953732
16.4,59133.2,71,424,0.0953194
16.6,58563.2,72,427,0.0977216
16.8,58876.1,73,423,0.0949423
17,58407.6,74,426,0.0943758
17.2,58748.8,75,422,0.0974607
17.4,58173,76,425,0.0959063
17.6,57840.1,77,427,0.0950621
17.8,58214,78,423,0.100167
18,58295.2,79,421,0.0979316
18.2,58009.5,80,423,0.0957457
18.4,57222.1,81,427,0.0965473
18.6,58528.4,82,417,0.0951659
18.8,57531.1,83,423,0.0956754
19,57815.7,84,420,0.0948005
19.2,57255.7,85,423,0.0984026
19.4,57083,86,423,0.0979468
19.6,57290.4,87,421,0.097778
19.8,56529.9,88,425,0.0970393
20,55626,89,431,0.0949673
20.2,56906.3,90,420,0.0946099
20.4,56422.2,91,423,0.0939299
20.6,56641,93,420,0.0959547
20.8,56303.4,94,421,0.0930365
21,56349.8,95,420,0.0982399
21.2,55872.2,96,423,0.0983958
21.4,55609.7,97,424,0.0968352
21.6,55995.4,98,420,0.0920834
21.8,55714.4,99,421,0.0937943
22,55723.8,100,419,0.0972678
22.2,55669.3,101,419,0.100608
22.4,55235.8,102,421,0.0942255
22.6,54835.5,103,423,0.097198
22.8,55370.2,104,418,0.095196
23,55465.8,105,416,0.096968
23.2,55495,107,415,0.0967469
23.4,54802.8,108,419,0.0977397
23.6,55172,109,415,0.095228
23.8,54907.6,110,416,0.0985459
24,55369.3,111,411,0.0968597
24.2,54417.1,112,417,0.097094
24.4,54915.4,113,412,0.0940008
24.6,54364.9,114,416,0.098616
24.8,54433.8,115,414,0.09744
25,54271.1,116,414,0.0975823
25.2,54451.1,118,412,0.0975737
25.4,54053.5,119,414,0.0976057
25.6,53396.1,120,418,0.0966979
25.8,54178.9,121,410,0.0971621
26,53999.8,122,411,0.0969978
26.2,53375.5,123,414,0.09639
26.4,53844.9,124,410,0.0982909
26.6,53695.6,125,410,0.100246
26.8,53546.1,126,410,0.0972856
27,53739.7,128,407,0.101341
27.2,53691.9,129,406,0.0954364
27.4,53359.3,130,408,0.0971791
27.6,53171.1,131,408,0.0942381
27.8,53462.1,132,405,0.0952435
28,53227,133,405,0.0959199
28.2,53095.2,134,405,0.0980967
28.4,51926.3,135,413,0.0945746
28.6,53258.7,137,402,0.0972162
28.8,53126.4,138,402,0.0992606
29,53185.2,139,400,0.096972
29.2,53148.7,140,399,0.0960997
29.4,52977.8,141,399,0.10299
29.6,53055.1,142,398,0.101404
29.8,52887.9,143,398,0.100384
30,52637.7,145,398,0.0965224
30.2,52078.4,146,402,0.0977343
30.4,52795.6,147,395,0.0969769
30.6,52515.9,148,396,0.100022
30.8,52693.9,149,393,0.103922
31,52196.4,150,396,0.0954244
31.2,52010.7,151,396,0.0992858
31.4,52522.4,153,391,0.0955393
31.6,52294.6,154,392,0.0973546
31.8,52317.1,155,391,0.0980262
32,52356.7,156,389,0.0998345
32.2,51281.4,157,396,0.0954076
